update;0.0;0.0
prediction;0.0;0.0
prediction;0.0;0.0
prediction;0.0;0.0
prediction;0.0;0.0
update;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
prediction;-0.021833740934403656;-0.055761981071817845
update;-0.0238943395255376;-0.06588179207121063
prediction;-0.0238943395255376;-0.06588179207121063
prediction;-0.0238943395255376;-0.06588179207121063
prediction;-0.0238943395255376;-0.06588179207121063
prediction;-0.0238943395255376;-0.06588179207121063
prediction;-0.0238943395255376;-0.06588179207121063
prediction;-0.0238943395255376;-0.06588179207121063
prediction;-0.0238943395255376;-0.06588179207121063
prediction;-0.0238943395255376;-0.06588179207121063
update;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
prediction;-0.0775267325218421;-0.13444830725126994
update;-0.12015161507175628;-0.16157722695557133
prediction;-0.12015161507175628;-0.16157722695557133
prediction;-0.12015161507175628;-0.16157722695557133
prediction;-0.12015161507175628;-0.16157722695557133
prediction;-0.12015161507175628;-0.16157722695557133
prediction;-0.12015161507175628;-0.16157722695557133
prediction;-0.12015161507175628;-0.16157722695557133
prediction;-0.12015161507175628;-0.16157722695557133
prediction;-0.12015161507175628;-0.16157722695557133
update;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
prediction;-0.1043527504537873;-0.1251884324577562
update;-0.08921068753131173;-0.12288896336042847
prediction;-0.08921068753131173;-0.12288896336042847
prediction;-0.08921068753131173;-0.12288896336042847
prediction;-0.08921068753131173;-0.12288896336042847
prediction;-0.08921068753131173;-0.12288896336042847
prediction;-0.08921068753131173;-0.12288896336042847
prediction;-0.08921068753131173;-0.12288896336042847
prediction;-0.08921068753131173;-0.12288896336042847
prediction;-0.08921068753131173;-0.12288896336042847
update;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
prediction;-0.23210450167760707;-0.3465332651299802
update;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
prediction;-0.3162196330081957;-0.4296175467522496
update;-0.4155262538212283;-0.5231812774648509
prediction;-0.4155262538212283;-0.5231812774648509
prediction;-0.4155262538212283;-0.5231812774648509
prediction;-0.4155262538212283;-0.5231812774648509
prediction;-0.4155262538212283;-0.5231812774648509
prediction;-0.4155262538212283;-0.5231812774648509
prediction;-0.4155262538212283;-0.5231812774648509
prediction;-0.4155262538212283;-0.5231812774648509
prediction;-0.4155262538212283;-0.5231812774648509
update;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
prediction;-0.4529715629435747;-0.5240066121667223
update;-0.4865133155678092;-0.5228169124459681
prediction;-0.4865133155678092;-0.5228169124459681
prediction;-0.4865133155678092;-0.5228169124459681
prediction;-0.486020362920463;-0.5228205588365492
prediction;-0.486020362920463;-0.5228205588365492
prediction;-0.486020362920463;-0.5228205588365492
prediction;-0.486020362920463;-0.5228205588365492
prediction;-0.486020362920463;-0.5228205588365492
prediction;-0.4855274279797698;-0.5228244565892803
update;-0.5137454997977214;-0.5124420962091971
prediction;-0.5137454997977214;-0.5124420962091971
prediction;-0.5132525125055012;-0.5124453658260987
prediction;-0.5132525125055012;-0.5124453658260987
prediction;-0.5127595608087488;-0.5124491385384972
prediction;-0.512266591296384;-0.5124526599125075
prediction;-0.5117736573733968;-0.5124566843132191
prediction;-0.5107875865957646;-0.5124622204622074
prediction;-0.5098016582361247;-0.5124697691889377
prediction;-0.5088156942479675;-0.5124768159534443
